"A1","DELTA1","C1","RELEASE","P3_TYPE"
"Static Category","dStaticCategoryModel","Reminder","v3","import"
"Static Category","dStaticCategoryModel","Reminder","v3","method"
"Static Category","dStaticCategoryModel","Reminder","v3","field"
"Static Category","dStaticCategoryModel","ReminderDAO","v3","import"
"Static Category","dStaticCategoryModel","ReminderDAO","v3","method"
"Static Category","dStaticCategoryModel","DefaultDBFactory","v3","method"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v3","import"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v3","method"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v2","import"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v2","method"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v2","import"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v2","method"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v2","import"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v2","method"
"Static Category","dStaticCategoryGUI","ReminderActivity","v2","import"
"Static Category","dStaticCategoryGUI","ReminderActivity","v2","method"
"Static Category","dStaticCategoryGUI","ReminderActivity","v2","field"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v2","import"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v2","method"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v2","field"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v2","import"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v2","method"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v2","field"
"Static Category","dStaticCategoryModel","Reminder","v2","import"
"Static Category","dStaticCategoryModel","Reminder","v2","method"
"Static Category","dStaticCategoryModel","Reminder","v2","field"
"Static Category","dStaticCategoryModel","ReminderDAO","v2","import"
"Static Category","dStaticCategoryModel","ReminderDAO","v2","method"
"Static Category","dStaticCategoryModel","DefaultDBFactory","v2","method"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v2","import"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v2","method"
"Static Category","dStaticCategoryPersistence","GenericDAO","v2","import"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v2","import"
"Manage Category","dManageCategoryController","Controller","v2","method"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v2","field"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v2","method"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v2","method"
